Pair,Group,N,Selection_Rate,Accuracy,TPR,FPR
RACE×AGE_GROUP,Asian/PI × Age_65_Plus,8057,0.69231723966737,0.87178850688842,0.9044313934863855,0.20344544708777687
RACE×AGE_GROUP,Native American × Age_65_Plus,1161,0.6640826873385013,0.8690783807062877,0.909933774834437,0.20689655172413793
SEX×AGE_GROUP,Male × Age_65_Plus,43712,0.6382000366032211,0.8627836749633968,0.8964480973243057,0.19499161125955383
ETHNICITY×AGE_GROUP,Non-Hispanic × Age_65_Plus,15344,0.6379692387904067,0.8639859228362878,0.8988193869096934,0.19514767932489452
RACE×AGE_GROUP,White × Age_65_Plus,12449,0.6325809301951965,0.8645674351353523,0.8992388078957554,0.19263516389953173
ETHNICITY×AGE_GROUP,Hispanic × Age_65_Plus,63944,0.6088765169523332,0.8686663330414113,0.8970045244162463,0.17409558188809543
RACE×AGE_GROUP,Black × Age_65_Plus,57471,0.5988237545892711,0.8678985923335247,0.8954911385686061,0.17181663837011885
RACE×SEX,Asian/PI × Female,7641,0.5944248135060856,0.8680800942285041,0.8859764089121888,0.15866797257590598
SEX×AGE_GROUP,Female × Age_65_Plus,35576,0.5853946480773555,0.8738756465032607,0.8986094169309587,0.15973741794310722
RACE×AGE_GROUP,Asian/PI × Age_55_64,3775,0.5716556291390729,0.8505960264900663,0.8599819331526649,0.1627162075592569
RACE×AGE_GROUP,Other/Unknown × Age_65_Plus,150,0.56,0.8533333333333334,0.8974358974358975,0.19444444444444445
RACE×SEX,White × Female,12086,0.5373159026973358,0.8635611451265928,0.8705828361633777,0.1447107586952604
RACE×SEX,Native American × Female,998,0.5370741482965932,0.8837675350701403,0.8977272727272727,0.13191489361702127
RACE×ETHNICITY,Asian/PI × Hispanic,23018,0.5075593014162829,0.872751759492571,0.8627548483341622,0.11623447772096421
ETHNICITY×AGE_GROUP,Non-Hispanic × Age_55_64,5675,0.5066079295154186,0.8511013215859031,0.8376580172987359,0.1337579617834395
