Pair,Group,N,Selection_Rate,Accuracy,TPR,FPR
RACE×AGE_GROUP,Asian/PI × Elderly,8057,0.69231723966737,0.87178850688842,0.9044313934863855,0.20344544708777687
RACE×AGE_GROUP,Native American × Elderly,1161,0.6640826873385013,0.8690783807062877,0.909933774834437,0.20689655172413793
SEX×AGE_GROUP,Male × Elderly,43712,0.6382000366032211,0.8627836749633968,0.8964480973243057,0.19499161125955383
ETHNICITY×AGE_GROUP,Non-Hispanic × Elderly,15344,0.6379692387904067,0.8639859228362878,0.8988193869096934,0.19514767932489452
RACE×AGE_GROUP,White × Elderly,12449,0.6325809301951965,0.8645674351353523,0.8992388078957554,0.19263516389953173
ETHNICITY×AGE_GROUP,Hispanic × Elderly,63944,0.6088765169523332,0.8686663330414113,0.8970045244162463,0.17409558188809543
RACE×AGE_GROUP,Black × Elderly,57471,0.5988237545892711,0.8678985923335247,0.8954911385686061,0.17181663837011885
RACE×SEX,Asian/PI × Female,7641,0.5944248135060856,0.8680800942285041,0.8859764089121888,0.15866797257590598
SEX×AGE_GROUP,Female × Elderly,35576,0.5853946480773555,0.8738756465032607,0.8986094169309587,0.15973741794310722
RACE×AGE_GROUP,Other/Unknown × Elderly,150,0.56,0.8533333333333334,0.8974358974358975,0.19444444444444445
RACE×SEX,White × Female,12086,0.5373159026973358,0.8635611451265928,0.8705828361633777,0.1447107586952604
RACE×SEX,Native American × Female,998,0.5370741482965932,0.8837675350701403,0.8977272727272727,0.13191489361702127
RACE×ETHNICITY,Asian/PI × Hispanic,23018,0.5075593014162829,0.872751759492571,0.8627548483341622,0.11623447772096421
RACE×SEX,Black × Female,46860,0.5015151515151515,0.8709346991037132,0.8714510705316477,0.12958445671245775
RACE×AGE_GROUP,Asian/PI × Middle_Aged,8723,0.489281210592686,0.8585349077152356,0.838163174320107,0.11989615293839981
SEX×AGE_GROUP,Female × Middle_Aged,22449,0.46402957815492896,0.855851040135418,0.8369779446269358,0.12709852467356283
RACE×SEX,Asian/PI × Male,15520,0.46320876288659796,0.8752577319587629,0.8485733244857332,0.09956167814652474
RACE×ETHNICITY,Black × Hispanic,100543,0.45603373680912646,0.8734869657758372,0.856132430398796,0.11157177759680166
RACE×SEX,Other/Unknown × Female,268,0.43656716417910446,0.8283582089552238,0.8198198198198198,0.16560509554140126
RACE×ETHNICITY,White × Hispanic,7397,0.42422603758280386,0.8887386778423685,0.8620581795433219,0.09095238095238095
SEX×AGE_GROUP,Female × Young_Adult,5660,0.4183745583038869,0.8650176678445229,0.8233870967741935,0.10251572327044026
RACE×ETHNICITY,Other/Unknown × Hispanic,217,0.4147465437788018,0.8755760368663594,0.9090909090909091,0.14285714285714285
RACE×ETHNICITY,Native American × Non-Hispanic,114,0.41228070175438597,0.9210526315789473,0.9318181818181818,0.08571428571428572
ETHNICITY×AGE_GROUP,Non-Hispanic × Middle_Aged,13677,0.4087153615558968,0.8645170724574103,0.815465135910856,0.09801392829507351
RACE×SEX,Black × Male,73901,0.4079647095438492,0.8793521061961272,0.8410485399466735,0.09277097166370522
RACE×ETHNICITY,Native American × Hispanic,3177,0.40195152659741895,0.8885741265344664,0.8563706563706563,0.08926673751328375
ETHNICITY×AGE_GROUP,Non-Hispanic × Pediatric,3571,0.3962475497059647,0.895267432091851,0.8505050505050505,0.0728667305848514
ETHNICITY×AGE_GROUP,Hispanic × Middle_Aged,42567,0.3937087415133789,0.8650597880987619,0.8128728057717435,0.09814132350584842
RACE×AGE_GROUP,White × Middle_Aged,10859,0.3935905700340731,0.8659176719771619,0.8121400088613203,0.09582348305752561
RACE×AGE_GROUP,Asian/PI × Pediatric,1006,0.38966202783300197,0.9095427435387674,0.8697788697788698,0.06343906510851419
RACE×AGE_GROUP,Black × Pediatric,4854,0.3866913885455295,0.907292954264524,0.8653353814644137,0.06446053085143054
SEX×AGE_GROUP,Male × Pediatric,3555,0.38649789029535864,0.8959212376933896,0.842896174863388,0.06695361071257772
RACE×ETHNICITY,Black × Non-Hispanic,20218,0.3857453754080522,0.8890097932535365,0.8426051560379919,0.07992733878292461
RACE×ETHNICITY,White × Non-Hispanic,29704,0.384661998384056,0.8839213573929438,0.8367950016886188,0.08482642777155655
RACE×AGE_GROUP,White × Pediatric,1533,0.38030006523157206,0.8936725375081539,0.8420195439739414,0.07181719260065289
SEX×AGE_GROUP,Female × Pediatric,4168,0.3788387715930902,0.9088291746641075,0.8707482993197279,0.06703253626029008
RACE×AGE_GROUP,Black × Middle_Aged,35509,0.3768340420738404,0.8654707257315047,0.8052362707535121,0.09488676161568994
RACE×AGE_GROUP,Native American × Middle_Aged,1026,0.3713450292397661,0.8869395711500975,0.8406169665809768,0.0847723704866562
ETHNICITY×AGE_GROUP,Hispanic × Pediatric,4152,0.37042389210019266,0.9094412331406551,0.8640350877192983,0.062206572769953054
RACE×AGE_GROUP,Other/Unknown × Pediatric,215,0.3627906976744186,0.8325581395348837,0.7625,0.1259259259259259
RACE×AGE_GROUP,Other/Unknown × Middle_Aged,127,0.3543307086614173,0.889763779527559,0.8604651162790697,0.09523809523809523
SEX×AGE_GROUP,Male × Middle_Aged,33795,0.35306998076638557,0.8709572421955911,0.7941107917022764,0.08177212770024851
RACE×SEX,Native American × Male,2293,0.3436546009594418,0.8922808547754034,0.8335388409371147,0.07557354925775979
RACE×ETHNICITY,Asian/PI × Non-Hispanic,143,0.3356643356643357,0.8951048951048951,0.851063829787234,0.08333333333333333
RACE×SEX,White × Male,25015,0.322606436138317,0.8951828902658405,0.8203198494825964,0.0662588577312095
RACE×ETHNICITY,Other/Unknown × Non-Hispanic,495,0.29494949494949496,0.8707070707070707,0.7662337662337663,0.08211143695014662
RACE×AGE_GROUP,Asian/PI × Young_Adult,5375,0.2777674418604651,0.8909767441860466,0.783260462211118,0.0633280339162692
RACE×SEX,Other/Unknown × Male,444,0.268018018018018,0.8986486486486487,0.8083333333333333,0.06790123456790123
ETHNICITY×AGE_GROUP,Hispanic × Young_Adult,23689,0.20296340073451813,0.9014310439444468,0.7251046786819588,0.045339635084633984
RACE×AGE_GROUP,Native American × Pediatric,115,0.2,0.9130434782608695,0.7407407407407407,0.03409090909090909
RACE×AGE_GROUP,Black × Young_Adult,22927,0.1734636018667946,0.9064421860688271,0.6963979416809606,0.039916771614740186
RACE×AGE_GROUP,Native American × Young_Adult,989,0.1506572295247725,0.9140546006066734,0.6904761904761905,0.040194884287454324
RACE×AGE_GROUP,White × Young_Adult,12260,0.14942903752039152,0.9212071778140294,0.700277520814061,0.0314913844325609
ETHNICITY×AGE_GROUP,Non-Hispanic × Young_Adult,18082,0.14777126424068135,0.9189248976883088,0.6925287356321839,0.03364548494983278
SEX×AGE_GROUP,Male × Young_Adult,36111,0.14156351250311539,0.9158982027637008,0.6688364524003255,0.033437896282453444
RACE×AGE_GROUP,Other/Unknown × Young_Adult,220,0.1318181818181818,0.9136363636363637,0.6666666666666666,0.04736842105263158
