Pair,Group,N,Selection_Rate,Accuracy,TPR,FPR
RACE×AGE_GROUP,Asian/PI × 65_Plus,8057,0.69231723966737,0.87178850688842,0.9044313934863855,0.20344544708777687
RACE×AGE_GROUP,Native American × 65_Plus,1161,0.6640826873385013,0.8690783807062877,0.909933774834437,0.20689655172413793
SEX×AGE_GROUP,Male × 65_Plus,43712,0.6382000366032211,0.8627836749633968,0.8964480973243057,0.19499161125955383
ETHNICITY×AGE_GROUP,Non-Hispanic × 65_Plus,15344,0.6379692387904067,0.8639859228362878,0.8988193869096934,0.19514767932489452
RACE×AGE_GROUP,White × 65_Plus,12449,0.6325809301951965,0.8645674351353523,0.8992388078957554,0.19263516389953173
ETHNICITY×AGE_GROUP,Hispanic × 65_Plus,63944,0.6088765169523332,0.8686663330414113,0.8970045244162463,0.17409558188809543
RACE×AGE_GROUP,Black × 65_Plus,57471,0.5988237545892711,0.8678985923335247,0.8954911385686061,0.17181663837011885
RACE×SEX,Asian/PI × Female,7641,0.5944248135060856,0.8680800942285041,0.8859764089121888,0.15866797257590598
SEX×AGE_GROUP,Female × 65_Plus,35576,0.5853946480773555,0.8738756465032607,0.8986094169309587,0.15973741794310722
RACE×AGE_GROUP,Other/Unknown × 65_Plus,150,0.56,0.8533333333333334,0.8974358974358975,0.19444444444444445
RACE×SEX,White × Female,12086,0.5373159026973358,0.8635611451265928,0.8705828361633777,0.1447107586952604
RACE×SEX,Native American × Female,998,0.5370741482965932,0.8837675350701403,0.8977272727272727,0.13191489361702127
RACE×ETHNICITY,Asian/PI × Hispanic,23018,0.5075593014162829,0.872751759492571,0.8627548483341622,0.11623447772096421
RACE×SEX,Black × Female,46860,0.5015151515151515,0.8709346991037132,0.8714510705316477,0.12958445671245775
RACE×SEX,Asian/PI × Male,15520,0.46320876288659796,0.8752577319587629,0.8485733244857332,0.09956167814652474
RACE×ETHNICITY,Black × Hispanic,100543,0.45603373680912646,0.8734869657758372,0.856132430398796,0.11157177759680166
SEX×AGE_GROUP,Female × Under_65,32277,0.4450227716330514,0.8642996561018682,0.8383947939262473,0.11389443651925821
RACE×SEX,Other/Unknown × Female,268,0.43656716417910446,0.8283582089552238,0.8198198198198198,0.16560509554140126
RACE×ETHNICITY,White × Hispanic,7397,0.42422603758280386,0.8887386778423685,0.8620581795433219,0.09095238095238095
RACE×ETHNICITY,Other/Unknown × Hispanic,217,0.4147465437788018,0.8755760368663594,0.9090909090909091,0.14285714285714285
RACE×ETHNICITY,Native American × Non-Hispanic,114,0.41228070175438597,0.9210526315789473,0.9318181818181818,0.08571428571428572
RACE×SEX,Black × Male,73901,0.4079647095438492,0.8793521061961272,0.8410485399466735,0.09277097166370522
RACE×AGE_GROUP,Asian/PI × Under_65,15104,0.4073755296610169,0.8734772245762712,0.8266091777024946,0.09117305458768873
RACE×ETHNICITY,Native American × Hispanic,3177,0.40195152659741895,0.8885741265344664,0.8563706563706563,0.08926673751328375
RACE×ETHNICITY,Black × Non-Hispanic,20218,0.3857453754080522,0.8890097932535365,0.8426051560379919,0.07992733878292461
RACE×ETHNICITY,White × Non-Hispanic,29704,0.384661998384056,0.8839213573929438,0.8367950016886188,0.08482642777155655
RACE×SEX,Native American × Male,2293,0.3436546009594418,0.8922808547754034,0.8335388409371147,0.07557354925775979
RACE×ETHNICITY,Asian/PI × Non-Hispanic,143,0.3356643356643357,0.8951048951048951,0.851063829787234,0.08333333333333333
ETHNICITY×AGE_GROUP,Hispanic × Under_65,70408,0.328158731962277,0.8799142142938302,0.7966547869755386,0.07511593315250678
RACE×SEX,White × Male,25015,0.322606436138317,0.8951828902658405,0.8203198494825964,0.0662588577312095
RACE×AGE_GROUP,Black × Under_65,63290,0.30391847053246956,0.8835203033654606,0.7863937038288832,0.0692360083609291
RACE×ETHNICITY,Other/Unknown × Non-Hispanic,495,0.29494949494949496,0.8707070707070707,0.7662337662337663,0.08211143695014662
ETHNICITY×AGE_GROUP,Non-Hispanic × Under_65,35330,0.2739031984149448,0.8954712708746108,0.7838709677419354,0.05707946752722872
RACE×AGE_GROUP,White × Under_65,24652,0.2713370111958462,0.8951403537238358,0.7814814814814814,0.05713627462273931
RACE×AGE_GROUP,Other/Unknown × Under_65,562,0.2704626334519573,0.8772241992882562,0.7712418300653595,0.08312958435207823
RACE×SEX,Other/Unknown × Male,444,0.268018018018018,0.8986486486486487,0.8083333333333333,0.06790123456790123
RACE×AGE_GROUP,Native American × Under_65,2130,0.2596244131455399,0.9009389671361502,0.7928082191780822,0.05821474773609314
SEX×AGE_GROUP,Male × Under_65,73461,0.25071806809055147,0.8942568165421108,0.760009765625,0.05384949321454861
