Fold,N_val,N_hospitals,Acc,AUC,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
1,46255,21,0.8435412387849962,0.9311236966963642,0.6269035532994923,0,0.2289006540018686,0,0.19552529182879375,1,0.19552529182879375,1,0.5538461538461539,0,0.26170212765957446,0,0.26061137040395127,0,0.7616001247834395,0,0.14161830646451162,0,0.0341010838179302,1,0.09278906373702031,1,0.5026,0,0.004288350639329197,1,0.18822827362575495,0,0.7914495550066243,0,0.11271713126852573,0,0.02798129351778178,1,0.06264087692094472,1,0.5026,0,0.008895597417053702,1,0.17348132622054324,0,0.2461664113299404,0,0.5231816572641919,0,0.3368511569731082,0,0.3368511569731082,0,0.4959247648902821,0,0.17528549064633048,0,0.23729864971449643,0
2,46257,21,0.842013100719891,0.9307131212150588,0.538151128405735,0,0.23691820332357216,0,0.09623651440774328,1,0.1278894472361809,1,0.5,0,0.1908713692946058,0,0.10286665663290828,0,0.7878453179766948,0,0.10993161368552207,0,0.04802328184281124,1,0.04802328184281124,1,0.5106,0,0.006430588615871424,1,0.08459486060119686,1,0.8648151517954391,1,0.06250977814670405,1,0.0209593560724759,1,0.024488582388070418,1,0.4878,0,0.005090852594922035,1,0.07090067109057091,1,0.2847206971564148,0,0.43544361682221483,0,0.2302304415735622,0,0.2302304415735622,0,0.48461538461538456,0,0.09243062551515713,1,0.18294865575329822,0
3,46258,22,0.8224739504518137,0.9141901915897928,0.7067559955765401,0,0.1623013241131337,0,0.13679052674561043,1,0.14654716083941177,1,0.49090909090909085,0,0.09514449572670836,1,0.2830051039235795,0,0.8442946219758879,1,0.07793452722188687,1,0.03725611270631013,1,0.0411522652238859,1,0.5154,0,0.004031090817901983,1,0.12437190814333293,0,0.9728397594445894,1,0.01257728610714548,1,0.016414195786748853,1,0.026414186819192192,1,0.502,0,0.02835175868495199,1,0.0982087730116043,1,0.38289276859026833,0,0.3602331661629318,0,0.15631964847644353,1,0.15631964847644353,1,0.4852054794520548,0,0.039155276800183936,1,0.11001603215180111,0
4,46255,22,0.8494433034266565,0.9295298319112161,0.5537615604232925,0,0.2340326598866972,0,0.12487772471190117,1,0.12487772471190117,1,0.4816326530612245,0,0.09851762037000822,1,0.2679097134069168,0,0.7621608068471041,0,0.11749627443182092,0,0.061127583407807995,1,0.061127583407807995,1,0.4954,0,0.003724022521371384,1,0.05950479615915594,1,0.7432171387841963,0,0.11508459183993303,0,0.0619411231546666,1,0.0619411231546666,1,0.4886,0,0.018888848105814926,1,0.08001660595685678,1,0.2593276795183416,0,0.44585086460817447,0,0.28760099327039623,0,0.28760099327039623,0,0.47752394988946206,0,0.10671769489779015,0,0.08361435903514525,1
5,46255,23,0.8492271105826397,0.9339263216377627,0.7366731858984004,0,0.1579960884609598,0,0.13041867358280845,1,0.2232220282673574,0,0.4981818181818182,0,0.255856397244572,0,0.20947763021093818,0,0.7585931528153103,0,0.14315534023222315,0,0.028271368909478567,1,0.08089808184975805,1,0.5126,0,0.018483198242059906,1,0.10982467541148977,0,0.9956144169224141,1,0.0021935989223147434,1,0.03647762158199852,1,0.052818351772703664,1,0.4988,0,0.08617004658799243,1,0.24821544834538556,0,0.1905537557888996,0,0.5674040798671529,0,0.42370632463511726,0,0.42370632463511726,0,0.4906137184115523,0,0.2054766579821924,0,0.2482891169978373,0
6,46259,21,0.8301952052573554,0.9226839306652563,0.7434506112762809,0,0.10042249582277707,0,0.27642313270485863,0,0.27642313270485863,0,0.3851851851851852,0,0.05755293253728766,1,0.23540506675640638,0,0.5547695344140072,0,0.21601665334983422,0,0.11399933381767935,1,0.11399933381767935,1,0.4882,0,0.0045707735100737334,1,0.16529715087310137,0,0.6093670753276634,0,0.15679226632258383,0,0.10938347566716544,1,0.10938347566716544,1,0.4606,0,0.0199576162682209,1,0.19270504389249654,0,0.1910875257403475,0,0.48202513498853894,0,0.3961248118090275,0,0.3961248118090275,0,0.46427184466019417,0,0.07491542639729365,1,0.2718693758473391,0
7,46259,21,0.8506236624224475,0.9281553248321829,0.8615598499657461,1,0.061288345795448174,1,0.22619047619047616,0,0.22619047619047616,0,0.50625,0,0.07381539304300189,1,0.15990899738914027,0,0.7554146434960388,0,0.11812305223857572,0,0.03960697350727782,1,0.0451687420825051,1,0.4964,0,0.014763122517167826,1,0.029570960860849343,1,0.8207850677964623,1,0.07822864612762281,1,0.039570319654510966,1,0.039570319654510966,1,0.4876,0,0.07440066490939856,1,0.12857253233791693,0,0.24153011163359392,0,0.437783311616418,0,0.29394929539661274,0,0.29394929539661274,0,0.45788156797331114,0,0.21519448844635547,0,0.3683251736914274,0
8,46256,22,0.8324974057419579,0.920259060507769,0.5086459648071663,0,0.27987031696257486,0,0.20553289726818003,0,0.20553289726818003,0,0.4971962616822429,0,0.6073697270471463,0,0.4364881966765362,0,0.928769739373248,1,0.036163339367694336,1,0.009746964043157447,1,0.021405969822359816,1,0.5008,0,0.0007334393113256343,1,0.05470248167288527,1,0.8393433924944939,1,0.08872939184803641,1,0.05213544043184304,1,0.06729559913894936,1,0.5124,0,0.02228171965486503,1,0.0597437883148772,1,0.2654420173482987,0,0.4624752836706339,0,0.27807953547170616,0,0.27807953547170616,0,0.47597402597402594,0,0.0403326340576633,1,0.222633881324733,0
9,46255,23,0.8386768997946168,0.9234126464625717,0.8315904529816514,1,0.07942675762103402,1,0.12285714285714289,1,0.12285714285714289,1,0.4894736842105263,0,0.04486819966348854,1,0.21350198076976046,0,0.8192685667296025,1,0.08644758852231677,1,0.061198731510187065,1,0.061198731510187065,1,0.4892,0,0.0010990662323382416,1,0.06416824535028315,1,0.8198984569548594,1,0.0801525771064992,1,0.057307716672216125,1,0.057307716672216125,1,0.496,0,0.02727119522044885,1,0.0648792594687948,1,0.3680264307506504,0,0.35425954841694357,0,0.24161506370546848,0,0.24161506370546848,0,0.47744444444444445,0,0.059445105793293096,1,0.17330521802860266,0
10,46258,22,0.851874270396472,0.9345979824957014,0.7771597748186667,0,0.11162781985781306,0,0.2249698431845597,0,0.2249698431845597,0,0.5,0,0.16898990592597674,0,0.17288724922362964,0,0.7681342792688821,0,0.12745955383116997,0,0.03255298665005879,1,0.07209340784234218,1,0.5288,0,0.0001904232207545764,1,0.0767908122404527,1,0.6236248860928226,0,0.18434455831572416,0,0.05917378099427251,1,0.0753700914762282,1,0.503,0,0.012242754267769218,1,0.06902875176632428,1,0.2300409251397137,0,0.5053067833718929,0,0.3389362214122795,0,0.3389362214122795,0,0.47526467757459095,0,0.09097127222982215,1,0.32833984306060654,0
