Fold,Model,N_val,N_hospitals,Accuracy,AUC,DI_RACE,Fair_RACE,DI_SEX,Fair_SEX,DI_ETHNICITY,Fair_ETHNICITY,DI_AGE_GROUP,Fair_AGE_GROUP,Total_Fair
1,Std,46255,21,0.8435412387849962,0.9311236966963642,0.6269035532994923,0,0.7616001247834395,3,0.7914495550066243,3,0.2461664113299404,0,6
1,Fair,46255,21,0.8305912874283862,0.9203921561968241,0.5844424726412304,2,0.8639857193266497,5,0.9386834186124248,5,0.5010546535892973,1,13
2,Std,46257,21,0.842013100719891,0.9307131212150588,0.538151128405735,1,0.7878453179766948,3,0.8648151517954391,5,0.2847206971564148,1,10
2,Fair,46257,21,0.8036837667812439,0.913601443063306,0.8160606610917948,3,0.9245926983980212,4,0.9559254643940348,5,0.8063365958073024,2,14
3,Std,46258,22,0.8224739504518137,0.9141901915897928,0.7067559955765401,1,0.8442946219758879,5,0.9728397594445894,5,0.38289276859026833,1,12
3,Fair,46258,22,0.7953651260322538,0.9011213938998437,0.8156429592606671,3,0.8973203952085851,5,0.8940480471241404,5,0.8214534777322352,2,15
4,Std,46255,22,0.8494433034266565,0.9295298319112161,0.5537615604232925,1,0.7621608068471041,3,0.7432171387841963,3,0.2593276795183416,0,7
4,Fair,46255,22,0.8073937952653767,0.9175999331561716,0.8591664894871892,3,0.9387247763966651,4,0.8943806891984905,5,0.8435132557798332,2,14
5,Std,46255,23,0.8492271105826397,0.9339263216377627,0.7366731858984004,0,0.7585931528153103,3,0.9956144169224141,5,0.1905537557888996,0,8
5,Fair,46255,23,0.8260296184196303,0.918988566517171,0.7092351006898924,0,0.8454382639794751,5,0.8879876671077602,3,0.3616631662488749,0,8
6,Std,46259,21,0.8301952052573554,0.9226839306652563,0.7434506112762809,1,0.5547695344140072,1,0.6093670753276634,1,0.1910875257403475,1,4
6,Fair,46259,21,0.7605222767461467,0.9089146418608092,0.9428277986990756,2,0.9996469968757967,3,0.8855050995582704,4,0.9909617385214933,2,11
7,Std,46259,21,0.8506236624224475,0.9281553248321829,0.8615598499657461,3,0.7554146434960388,4,0.8207850677964623,5,0.24153011163359392,0,12
7,Fair,46259,21,0.8042326898549471,0.9103233367051469,0.9002678959667404,2,0.9608666963462332,4,0.892114489281574,2,0.8314214196479273,2,10
8,Std,46256,22,0.8324974057419579,0.920259060507769,0.5086459648071663,0,0.928769739373248,5,0.8393433924944939,5,0.2654420173482987,1,11
8,Fair,46256,22,0.7923296437218955,0.9090769867276057,0.8398744113029828,2,0.9979761644654414,5,0.9976284279340913,5,0.8333184229385561,2,14
9,Std,46255,23,0.8386768997946168,0.9234126464625717,0.8315904529816514,3,0.8192685667296025,5,0.8198984569548594,5,0.3680264307506504,1,14
9,Fair,46255,23,0.8248837963463409,0.9148288893365252,0.8508686737887127,3,0.918301662133303,6,0.8946218755185794,5,0.824865845296636,2,16
10,Std,46258,22,0.851874270396472,0.9345979824957014,0.7771597748186667,0,0.7681342792688821,3,0.6236248860928226,3,0.2300409251397137,1,7
10,Fair,46258,22,0.7809027627653595,0.9238852074861955,0.9118508655126498,2,0.999642561948764,3,0.9975440446809012,4,0.992753443387664,2,11
11,Std,46259,21,0.841544348126851,0.9265011639095138,0.5697341239639699,2,0.8056712948393567,4,0.782570171741025,3,0.29780800037328553,1,10
11,Fair,46259,21,0.8139172917702501,0.9171148276357725,0.8169147087708695,2,0.93766516639292,4,0.870293008836574,5,0.8106683007684136,2,13
12,Std,46255,23,0.8653550967462977,0.9362564067724636,0.5968608597285068,1,0.5939918170927674,3,0.771330792917583,4,0.16137827763794851,0,8
12,Fair,46255,23,0.7632472165171332,0.9148145991069928,0.9649198662515854,2,0.9974775789619529,3,0.972783894994513,4,0.9941442660971016,2,11
13,Std,46255,22,0.8481893849313588,0.9312121156510079,0.703125,2,0.8199116298358986,6,0.8136410331071208,6,0.2309789026202678,0,14
13,Fair,46255,22,0.8180737217598097,0.9231799337056694,0.826334988292429,2,0.9511367657786668,4,0.9497085864787894,5,0.8407573341672605,2,13
14,Std,46255,23,0.8367744027672684,0.9187863964915397,0.7730913916004772,1,0.8186579633122842,5,0.8816477597906375,3,0.29826315914735047,1,10
14,Fair,46255,23,0.8039347097611069,0.9103779772773526,0.8724272918629634,2,0.9509384327454548,5,0.9345558036356988,5,0.8192820722837172,3,15
15,Std,46255,21,0.8514971354448168,0.9291094965116395,0.7426997005466973,1,0.7187113496351881,3,0.8308384400072314,5,0.22056702022358543,0,9
15,Fair,46255,21,0.8148524483839585,0.904580441610075,0.5614923563876355,0,0.8305032071015346,4,0.9771312074186002,4,0.59563633768423,2,10
16,Std,46259,21,0.8469919367042089,0.9311682487494359,0.6278481012658228,0,0.8805503517521428,5,0.7035168570315918,3,0.3248947129151826,1,9
16,Fair,46259,21,0.8003847899868134,0.9155794177395763,0.8600419701271448,2,0.9951520381201251,5,0.8414515226633915,5,0.8383934259687218,2,14
17,Std,46258,22,0.8420813697090233,0.9250940669738179,0.5456876899696049,0,0.7750439353619702,3,0.7709329726811237,3,0.3291508477730044,1,7
17,Fair,46258,22,0.8082493838903541,0.9105437640628625,0.8361802761010507,3,0.9400456101867346,5,0.8772022360991258,5,0.8094654400641476,2,15
18,Std,46255,23,0.8482974813533672,0.9325999811507791,0.5263098616930216,1,0.7251847245168032,3,0.9281320636237491,5,0.17611298084229576,1,10
18,Fair,46255,23,0.7706626310669117,0.9207539954362844,0.8053979238754325,3,0.9977730866167218,3,0.9199417217490696,5,0.9971529306778756,2,13
19,Std,46255,24,0.8439736244730299,0.9265490241136703,0.5610140822381227,0,0.6647282198114703,1,0.9199355240458897,5,0.1372867293064573,1,7
19,Fair,46255,24,0.7814506539833531,0.9140460415468219,0.8401031497192955,2,0.9935153816003919,3,0.9941471461062283,5,0.8638824821447324,2,12
20,Std,46255,23,0.8508701761971679,0.9303371864217798,0.42200209390351934,0,0.5887224512508621,3,0.9990509670668309,5,0.2330379942695875,1,9
20,Fair,46255,23,0.7617338666090152,0.9055196581126085,0.959601508991686,4,0.9986812135969526,3,0.990930892504458,5,0.9931489121365554,2,14
